country,year,gdp per capita (current us$),gdp (current us$),"inflation, consumer prices (annual %)",poverty headcount ratio at $6.85 a day (2017 ppp) (% of population),renewable energy consumption (% of total final energy consumption),"pm2.5 air pollution, mean annual exposure (micrograms per cubic meter)",total greenhouse gas emissions excluding lulucf per capita (t co2e/capita),"energy use (kg of oil equivalent) per $1,000 gdp (constant 2021 ppp)"
NAC,2024,79640.4296229555,29871321614401.4,3.99766999081457,,12.5990512313246,7.68625047293451,17.8866069317531,89.9156052572751
NAM,2024,4168.28521087347,12351025066.9131,4.23903922877036,57.3,30.0,19.9945355710926,4.34872995972117,69.6048471131922
NCL,2024,33516.363085906,9623318718.31459,0.578317435520754,,9.6,,22.8178148825336,
NER,2024,642.937917863471,16819170420.5653,9.07151997725013,96.3,79.6,85.1223455605238,1.61828422139914,94.3488100998363
NGA,2024,1596.63696129001,363846332834.618,24.6595502031139,90.8,80.3,56.5313287289257,1.68995929028388,59.9802750559375
NIC,2024,2612.87066241288,17829218219.3591,4.62473841057141,42.1,50.4,16.809772538789,3.02307589835473,83.7955940785583
NLD,2024,64572.0059558854,1154361305398.06,3.34754304219953,0.3,12.2,10.8892498470498,8.43233279728493,48.087232549785
NOR,2024,87925.0944188399,485310823603.662,3.14530134431073,0.5,61.4,6.05589724673443,10.2755927338134,51.5205186696409
NPL,2024,1377.62603571292,40908073366.8455,7.11475951738199,44.1,73.7,45.7207706412594,1.91384875385146,109.155638276751
NRU,2024,12982.7612060515,154170289.321861,-0.124750499001971,61.7,1.9,6.06435493209495,0.101052631578947,
NZL,2024,48280.8114166238,252175506110.168,2.92279782301957,,28.9,6.48591499675774,16.1225708870211,74.9724423639591
OED,2024,46724.0157104114,64746562052056.7,5.67767862615429,,14.9035238849166,12.230107851958,10.339906772867,69.7517449142651
OMN,2024,21549.8368728192,108810923276.983,0.950782997762827,,0.1,39.5835768902765,25.2398911604828,145.351371246443
OSS,2024,16728.2675733784,241086470734.391,4.66165589454067,,34.0445543032787,21.1840575727963,9.47490910401512,
